Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Run Run Run,Kelly Clarkson,Pop,2015,112,37,28,11,8,273,45,36
Let Me Be Your Lover,Enrique Iglesias,Pop,2015,112,90,72,6,88,238,1,34
Dangerous,Jennifer Hudson,Pop,2015,109,53,90,8,65,255,0,18
Cake By The Ocean,DNCE,Pop,2016,119,75,77,4,90,219,15,81
Don't Let Me Down,The Chainsmokers,Electronic,2016,160,87,53,14,42,208,16,81
In the Name of Love,Martin Garrix,Big Room,2016,134,52,50,45,17,196,11,81
Into You,Ariana Grande,Pop,2016,108,73,62,14,37,244,2,80
This Is What You Came For,Calvin Harris,Pop,2016,124,93,63,15,47,222,20,80
Million Reasons,Lady Gaga,Pop,2016,130,42,67,11,15,205,49,80
Needed Me,Rihanna,Pop,2016,111,31,67,8,30,192,11,80
7 Years,Lukas Graham,Pop,2016,120,47,77,39,34,237,29,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Pop,2016,113,83,67,19,70,236,1,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Pop,2016,105,59,80,6,59,214,10,79
Scars To Your Beautiful,Alessia Cara,R&B,2016,97,74,57,11,45,230,3,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Pop,2016,108,53,63,18,42,225,40,79
Work,Rihanna,Pop,2016,92,53,73,9,56,219,8,78
"Me, Myself & I",G-Eazy,Hip-Hop,2016,112,67,76,16,38,251,2,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Pop,2016,102,71,66,8,69,198,4,78
Dangerous Woman,Ariana Grande,Pop,2016,134,60,66,36,29,236,5,78
Starving,Hailee Steinfeld,Pop,2016,100,62,73,11,51,182,38,78
Shout Out to My Ex,Little Mix,Pop,2016,126,75,77,11,80,246,2,77
Electric Love,BØRNS,Electronic,2016,120,80,61,26,52,218,1,76
Confident,Demi Lovato,Pop,2016,130,75,59,9,34,206,0,75
Too Good,Drake,Hip-Hop,2016,118,65,79,10,39,263,5,74
Roses,The Chainsmokers,Electronic,2016,100,80,71,31,34,227,4,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,Pop,2016,93,80,61,16,50,185,7,73
Me Too,Meghan Trainor,Pop,2016,124,69,93,48,84,181,10,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,Pop,2016,108,88,75,23,75,166,4,73
Ain't Your Mama,Jennifer Lopez,Pop,2016,120,68,76,7,82,218,5,72
Close,Nick Jonas,Pop,2016,124,62,65,14,40,234,25,72
Toothbrush,DNCE,Pop,2016,105,79,55,47,82,232,12,72
All We Know,The Chainsmokers,Electronic,2016,90,59,66,12,30,194,10,72
Final Song,MØ,Pop,2016,105,67,70,8,25,236,1,72
Hands To Myself,Selena Gomez,Pop,2016,111,50,81,34,47,201,1,71
All I Ask,Adele,British Soul,2016,142,28,59,15,34,272,88,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,Pop,2016,163,70,63,11,50,215,1,71
NO,Meghan Trainor,Pop,2016,92,80,56,74,65,214,1,70
Kill Em With Kindness,Selena Gomez,Pop,2016,120,88,76,10,40,218,1,70
Cool Girl,Tove Lo,Pop,2016,102,69,67,8,20,199,31,69
Perfect Illusion,Lady Gaga,Pop,2016,125,86,61,36,66,182,0,67
PILLOWTALK,ZAYN,Pop,2016,125,70,59,9,43,204,10,66
Out Of The Woods,Taylor Swift,Pop,2016,92,84,55,34,34,236,0,66
Rise,Katy Perry,Pop,2016,101,64,55,11,44,203,5,66
Wherever I Go,OneRepublic,Pop,2016,100,69,55,27,35,170,9,66
Body Say,Demi Lovato,Pop,2016,87,74,63,28,26,194,0,65
Don't Be A Fool,Shawn Mendes,Pop,2016,175,34,47,10,27,216,60,65
LIKE I WOULD,ZAYN,Pop,2016,113,83,56,26,23,192,2,65
Cheap Thrills,Sia,Australian Dance,2016,90,80,59,8,73,225,6,64
I Got You,Bebe Rexha,Pop,2016,98,89,61,9,32,192,5,64
Run Away With Me,Carly Rae Jepsen,Pop,2016,119,72,56,5,25,251,1,63
Cruel (feat. ZAYN),Snakehips,Pop,2016,110,88,60,16,32,228,2,63
Send My Love (To Your New Lover),Adele,British Soul,2016,164,52,69,17,56,223,4,61
WTF (Where They From),Missy Elliott,Pop,2016,120,82,93,6,56,193,2,58
Desire,Years & Years,Pop,2016,126,78,71,30,64,203,30,58
When We Were Young,Adele,British Soul,2016,144,59,38,9,27,291,35,58
I Know What You Did Last Summer,Shawn Mendes,Pop,2016,114,77,68,16,72,224,11,57
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine, Pop,2016,94,57,37,13,12,403,72,57
